listing_id,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,neighbourhood_name,host_listing_count,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,cutoff_date,dataset_version
21319098,30,0,0.0,1,Entire home/apt,Entire rental unit,1,1.0,1.0,1.0,150.0,3,80,False,False,Centrum-Oost,1,0,0.0,2.2857142857142856,80.0,0,0.0,2.2666666666666666,80.0,40.0,40.0,253.675,992.0,376.0,2026-08-11,v1_student
689166990078271299,30,0,0.0,1,Entire home/apt,Entire condo,4,2.0,,1.0,,3,30,False,False,Zuid,1,0,0.0,3.0,30.0,0,0.0,3.0,30.0,7.0,7.0,149.71428571428572,234.0,816.0,2026-08-11,v1_student
1293334747984896221,30,0,0.0,1,Private room,Room in hotel,4,1.0,,1.0,,1,365,True,False,Centrum-West,11,0,0.0,1.0,731.0,0,0.0,1.0,731.0,7.0,7.0,158.42857142857142,624.0,349.0,2026-08-11,v1_student
1465148185307051565,30,30,1.0,0,Entire home/apt,Entire place,2,1.0,1.0,1.0,346.0,2,14,False,False,Centrum-West,2,91,1.0,2.0,14.0,30,1.0,2.0,14.0,0.0,0.0,,,90.0,2026-08-11,v1_student
50650317,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,365,False,False,De Baarsjes - Oud-West,1,0,0.0,3.0,365.0,0,0.0,3.0,365.0,19.0,19.0,266.94736842105266,681.0,352.0,2026-08-11,v1_student
653596273829803592,30,0,0.0,1,Entire home/apt,Entire condo,4,1.0,,1.0,,17,30,False,False,Geuzenveld - Slotermeer,1,0,0.0,17.0,30.0,0,0.0,17.0,30.0,0.0,0.0,,,90.0,2026-08-11,v1_student
34032786,30,30,1.0,0,Private room,Room in boutique hotel,2,1.0,,1.0,,1,1125,True,True,De Baarsjes - Oud-West,6,91,1.0,1.0,1000.0,30,1.0,1.0,1000.0,40.0,40.0,155.625,811.0,513.0,2026-08-11,v1_student
1308853754484920222,30,0,0.0,1,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,320.0,2,20,False,False,Zuid,1,0,0.0,2.0,20.0,0,0.0,2.0,20.0,2.0,2.0,387.5,767.0,476.0,2026-08-11,v1_student
1375468320319586238,30,0,0.0,1,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,161.0,2,30,False,False,Noord-Oost,1,26,0.2857142857142857,2.0,30.0,0,0.0,2.0,30.0,5.0,5.0,394.0,957.0,352.0,2026-08-11,v1_student
13807499,30,0,0.0,1,Entire home/apt,Entire condo,2,1.0,,1.0,,3,8,False,False,Westerpark,1,0,0.0,3.0,8.0,0,0.0,3.0,8.0,36.0,36.0,278.3888888888889,1232.0,428.0,2026-08-11,v1_student
1211641181353113218,30,0,0.0,1,Entire home/apt,Entire rental unit,6,3.0,3.0,1.5,800.0,2,31,False,True,De Baarsjes - Oud-West,1,0,0.0,2.0,31.0,0,0.0,2.0,31.0,12.0,12.0,366.4166666666667,1007.0,399.0,2026-08-11,v1_student
938853684111781708,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.5,,5,20,False,False,Oud-Oost,1,0,0.0,5.0,20.0,0,0.0,5.0,20.0,8.0,8.0,214.0,309.0,369.0,2026-08-11,v1_student
14479187,30,0,0.0,1,Private room,Private room in bed and breakfast,3,1.0,3.0,1.0,136.0,2,30,False,True,De Baarsjes - Oud-West,1,0,0.0,2.0,30.0,0,0.0,2.0,30.0,485.0,484.0,246.68453608247424,1110.0,345.0,2026-08-11,v1_student
30930837,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,1.0,1.5,360.0,3,1125,False,False,Westerpark,1,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,35.0,35.0,310.34285714285716,1495.0,390.0,2026-08-11,v1_student
49484600,30,11,0.36666666666666664,0,Private room,Room in boutique hotel,2,1.0,1.0,1.0,125.0,1,1125,True,False,Zuid,6,91,1.0,1.0,45.0,30,1.0,1.0,45.0,422.0,420.0,188.74170616113744,4012.0,395.0,2026-08-11,v1_student
884620224127717708,30,30,1.0,0,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,150.0,1,365,False,False,Westerpark,1,91,1.0,1.0,365.0,30,1.0,1.0,365.0,0.0,0.0,,,90.0,2026-08-11,v1_student
44132663,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,2,1125,False,False,Slotervaart,1,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,2.0,2.0,276.5,388.0,2164.0,2026-08-11,v1_student
1184293803085561378,30,30,1.0,0,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,320.0,3,14,False,False,Oud-Oost,1,91,1.0,3.0,14.0,30,1.0,3.0,14.0,0.0,0.0,,,90.0,2026-08-11,v1_student
1085482641640694537,30,0,0.0,1,Entire home/apt,Entire condo,2,1.0,,1.0,,2,30,False,False,Zuid,1,0,0.0,2.0,30.0,0,0.0,2.0,30.0,0.0,0.0,,,90.0,2026-08-11,v1_student
949168302521214062,30,20,0.6666666666666666,0,Hotel room,Room in hotel,4,2.0,2.0,,40000.0,1,1125,True,False,Buitenveldert - Zuidas,9,91,1.0,1.0,813.1428571428571,30,1.0,1.0,179.03333333333333,0.0,0.0,,,90.0,2026-08-11,v1_student
9530785,30,0,0.0,1,Entire home/apt,Entire condo,4,3.0,4.0,1.5,533.0,2,365,False,False,Centrum-Oost,1,0,0.0,2.0,365.0,0,0.0,2.0,365.0,82.0,81.0,259.9390243902439,1150.0,417.0,2026-08-11,v1_student
575615,30,0,0.0,1,Entire home/apt,Entire rental unit,4,3.0,,1.5,,3,30,False,False,Centrum-Oost,1,0,0.0,3.0,30.0,0,0.0,3.0,30.0,40.0,40.0,381.25,1331.0,746.0,2026-08-11,v1_student
52890371,30,20,0.6666666666666666,0,Private room,Private room in bed and breakfast,2,1.0,1.0,1.0,201.0,2,1125,True,True,Zuid,2,85,0.9340659340659341,2.0,1125.0,30,1.0,2.0,1125.0,72.0,66.0,297.8888888888889,1006.0,351.0,2026-08-11,v1_student
7597331,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,7,7,False,False,De Baarsjes - Oud-West,1,0,0.0,7.0,1125.0,0,0.0,7.0,1125.0,38.0,38.0,285.5263157894737,790.0,1421.0,2026-08-11,v1_student
2345576,30,4,0.13333333333333333,1,Entire home/apt,Entire loft,5,4.0,4.0,2.0,929.0,2,70,False,True,Centrum-Oost,1,37,0.4065934065934066,3.2527472527472527,66.5934065934066,22,0.7333333333333333,5.666666666666667,62.666666666666664,84.0,84.0,420.8452380952381,2182.0,353.0,2026-08-11,v1_student
876685039279354837,30,0,0.0,1,Entire home/apt,Entire rental unit,3,1.0,,1.0,,6,30,False,False,Bos en Lommer,1,0,0.0,6.0,30.0,0,0.0,6.0,30.0,3.0,3.0,353.3333333333333,524.0,1140.0,2026-08-11,v1_student
